province,x,y
Xinjiang,-293,133
Xizang,-281,-79
Qinghai,-107,1
Gansu,25,-24
Neimenggu,135,127
Ningxia,61,25
Yunnan,-26,-269
Sichuan,-5,-128
Chongqing,102,-137
Guizhou,84,-211
Guangxi,127,-280
Hunan,176,-186
Guangdong,224,-269
Jiangxi,251,-181
Fujian,302,-214
Hainan,148,-376
Taiwan,370,-251
Zhejiang,324,-133
Anhui,273,-90
Jiangsu,316,-45
Shanghai,350,-89
Hubei,183,-113
Shaanxi,115,-35
Shanxi,167,34
Hebei,215,54
Henan,192,-52
Shandong,278,17
Liaoning,337,143
Jilin,377,204
Heilongjiang,383,288
Beijing,233,102
Tianjin,252,83
Hong Kong,237,-299
Macao,208,-317
